N	10000
lakossag	10000
alfa (megbetegedesi valoszinuseg)	0.300000
beta (gyogyulasi valoszinuseg)	0.100000
gamma (oltva megbetegedesi valoszinuseg)	0.000000
veletlen_keveredes	1
idoegyseg	beteg	erzekeny	gyogyult
3070	11	9989	0
3080	11	9989	0
3090	11	9989	0
3100	11	9989	0
3110	11	9989	0
3120	11	9989	0
3130	11	9989	0
3140	11	9989	0
3150	11	9989	0
3160	11	9989	0
3170	11	9989	0
3180	11	9989	0
3190	11	9989	0
3200	11	9989	0
3210	11	9989	0
3220	11	9989	0
3230	11	9989	0
3240	11	9989	0
3250	11	9989	0
3260	11	9989	0
3270	11	9989	0
3280	11	9989	0
3290	11	9989	0
3300	11	9989	0
3310	11	9989	0
3320	11	9989	0
3330	11	9989	0
3340	11	9989	0
3350	11	9989	0
3360	11	9989	0
3370	11	9989	0
3380	11	9989	0
3390	11	9989	0
3400	11	9989	0
3410	11	9989	0
3420	11	9989	0
3430	11	9989	0
3440	11	9989	0
3450	11	9989	0
3460	11	9989	0
3470	11	9989	0
3480	11	9989	0
3490	11	9989	0
3500	11	9989	0
3510	11	9989	0
3520	11	9989	0
3530	11	9989	0
3540	11	9989	0
3550	11	9989	0
3560	11	9989	0
3570	11	9989	0
3580	11	9989	0
3590	11	9989	0
3600	11	9989	0
3610	11	9989	0
3620	11	9989	0
3630	11	9989	0
3640	11	9989	0
3650	11	9989	0
3660	11	9989	0
3670	11	9989	0
3680	11	9989	0
3690	11	9989	0
3700	11	9989	0
3710	11	9989	0
3720	11	9989	0
3730	11	9989	0
3740	11	9989	0
3750	11	9989	0
3760	11	9989	0
3770	11	9989	0
3780	11	9989	0
3790	11	9989	0
3800	11	9989	0
3810	11	9989	0
3820	11	9989	0
3830	11	9989	0
3840	11	9989	0
3850	11	9989	0
3860	11	9989	0
3870	11	9989	0
3880	11	9989	0
3890	11	9989	0
3900	11	9989	0
3910	11	9989	0
3920	11	9989	0
3930	11	9989	0
3940	11	9989	0
3950	11	9989	0
3960	11	9989	0
3970	12	9988	0
3980	12	9988	0
3990	12	9988	0
4000	12	9988	0
4010	12	9988	0
4020	12	9988	0
4030	12	9988	0
4040	12	9988	0
4050	12	9988	0
4060	12	9988	0
4070	12	9988	0
4080	12	9988	0
4090	12	9988	0
4100	12	9988	0
4110	12	9988	0
4120	12	9988	0
4130	12	9988	0
4140	12	9988	0
4150	12	9988	0
4160	12	9988	0
4170	12	9988	0
4180	12	9988	0
4190	12	9988	0
4200	12	9988	0
4210	12	9988	0
4220	12	9988	0
4230	12	9988	0
4240	12	9988	0
4250	12	9988	0
4260	12	9988	0
4270	12	9988	0
4280	12	9988	0
4290	12	9988	0
4300	12	9988	0
4310	12	9988	0
4320	12	9988	0
4330	12	9988	0
4340	12	9988	0
4350	12	9988	0
4360	12	9988	0
4370	12	9988	0
4380	12	9988	0
4390	12	9988	0
4400	11	9988	1
4410	11	9988	1
4420	11	9988	1
4430	11	9988	1
4440	11	9988	1
4450	11	9988	1
4460	11	9988	1
4470	11	9988	1
4480	11	9988	1
4490	11	9988	1
4500	11	9988	1
4510	11	9988	1
4520	11	9988	1
4530	11	9988	1
4540	11	9988	1
4550	11	9988	1
4560	11	9988	1
4570	11	9988	1
4580	11	9988	1
4590	11	9988	1
4600	11	9988	1
4610	11	9988	1
4620	11	9988	1
4630	11	9988	1
4640	11	9988	1
4650	11	9988	1
4660	11	9988	1
4670	11	9988	1
4680	11	9988	1
4690	11	9988	1
4700	11	9988	1
4710	11	9988	1
4720	11	9988	1
4730	11	9988	1
4740	11	9988	1
4750	11	9988	1
4760	11	9988	1
4770	11	9988	1
4780	11	9988	1
4790	11	9988	1
4800	11	9988	1
4810	11	9988	1
4820	11	9988	1
4830	11	9988	1
4840	11	9988	1
4850	11	9988	1
4860	11	9988	1
4870	11	9988	1
4880	11	9988	1
4890	11	9988	1
4900	11	9988	1
4910	11	9988	1
4920	11	9988	1
4930	11	9988	1
4940	11	9988	1
4950	11	9988	1
4960	11	9988	1
4970	11	9988	1
4980	11	9988	1
4990	11	9988	1
5000	11	9988	1
5010	11	9988	1
5020	11	9988	1
5030	11	9988	1
5040	11	9988	1
5050	11	9988	1
5060	11	9988	1
5070	11	9988	1
5080	11	9988	1
5090	11	9988	1
5100	11	9988	1
5110	11	9988	1
5120	11	9988	1
5130	11	9988	1
5140	11	9988	1
5150	11	9988	1
5160	11	9988	1
5170	11	9988	1
5180	11	9988	1
5190	11	9988	1
5200	11	9988	1
5210	11	9988	1
5220	11	9988	1
5230	11	9988	1
5240	11	9988	1
5250	11	9988	1
5260	11	9988	1
5270	11	9988	1
5280	11	9988	1
5290	11	9988	1
5300	11	9988	1
5310	11	9988	1
5320	11	9988	1
5330	11	9988	1
5340	11	9988	1
5350	11	9988	1
5360	11	9988	1
5370	11	9988	1
5380	11	9988	1
5390	11	9988	1
5400	11	9988	1
5410	11	9988	1
5420	11	9988	1
5430	11	9988	1
5440	11	9988	1
5450	11	9988	1
5460	11	9988	1
5470	11	9988	1
5480	11	9988	1
5490	11	9988	1
5500	11	9988	1
5510	11	9988	1
5520	11	9988	1
5530	11	9988	1
5540	11	9988	1
5550	11	9988	1
5560	11	9988	1
5570	11	9988	1
5580	11	9988	1
5590	11	9988	1
5600	11	9988	1
5610	11	9988	1
5620	11	9988	1
5630	11	9988	1
5640	11	9988	1
5650	11	9988	1
5660	11	9988	1
5670	11	9988	1
5680	11	9988	1
5690	11	9988	1
5700	11	9988	1
5710	11	9988	1
5720	11	9988	1
5730	11	9988	1
5740	11	9988	1
5750	11	9988	1
5760	11	9988	1
5770	11	9988	1
5780	11	9988	1
5790	11	9988	1
5800	11	9988	1
5810	11	9988	1
5820	11	9988	1
5830	11	9988	1
5840	11	9988	1
5850	11	9988	1
5860	11	9988	1
5870	11	9988	1
5880	11	9988	1
5890	11	9988	1
5900	11	9988	1
5910	11	9988	1
5920	11	9988	1
5930	11	9988	1
5940	11	9988	1
5950	11	9988	1
5960	11	9988	1
5970	12	9987	1
5980	12	9987	1
5990	12	9987	1
6000	12	9987	1
6010	12	9987	1
6020	12	9987	1
6030	13	9986	1
6040	13	9986	1
6050	13	9986	1
6060	13	9986	1
6070	13	9986	1
6080	13	9986	1
6090	13	9986	1
6100	13	9986	1
6110	13	9986	1
6120	13	9986	1
6130	13	9986	1
